70年,非共有,93316,无,暂无数据,已上传房本照片,普通住宅,满两年,南 北,集中供暖,2018-06-28,2室1厅1厨1卫,平层,板楼,1993年建/板楼,商品房,高楼层 (共6层),46.08㎡,罗庄东里,海淀知春路,2015-11-06,一梯两户,其他,430
70年,非共有,59381,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-07-05,2室1厅1厨1卫,平层,板楼,1989年建/板楼,已购公房,顶层 (共6层),58.1㎡,西安街甲2号,丰台北大地,1999-12-07,一梯两户,简装,345
70年,非共有,46054,有,有抵押 20万元 农业银行 业主自还,已上传房本照片,普通住宅,满两年,西,集中供暖,2018-06-26,2室1厅1厨1卫,平层,板楼,2011年建/板楼,商品房,中楼层 (共17层),58.41㎡,北街家园八区,昌平沙河,2016-11-09,两梯九户,精装,269
70年,非共有,35421,有,有抵押,已上传房本照片,普通住宅,满两年,南 北,集中供暖,2018-10-21,2室1厅1厨1卫,平层,板塔结合,2012年建/板塔结合,商品房,低楼层 (共15层),87.52㎡,绿地新都会,房山长阳,2015-01-07,一梯三户,精装,310
70年,非共有,51248,有,无抵押,已上传房本照片,普通住宅,满五年,东南 北,集中供暖,2018-06-25,2室1厅1厨1卫,平层,板塔结合,2004年建/板塔结合,商品房,低楼层 (共11层),112.2㎡,北京青年城,朝阳北苑,2005-11-23,一梯四户,简装,575
70年,非共有,43713,有,无抵押,已上传房本照片,普通住宅,满五年,东南,集中供暖,2018-06-24,2室1厅1厨1卫,平层,塔楼,1995年建/塔楼,商品房,高楼层 (共18层),90.82㎡,城市经典,丰台科技园区,2003-02-17,两梯八户,简装,397
70年,非共有,54704,无,无抵押,已上传房本照片,普通住宅,满五年,南 西,集中供暖,2018-10-19,2室1厅1厨1卫,平层,板楼,1998年建/板楼,已购公房,底层 (共6层),70.38㎡,育菲园东里,丰台玉泉营,2001-06-07,一梯四户,简装,385
70年,非共有,74008,无,无抵押,已上传房本照片,普通住宅,满五年,南,集中供暖,2018-10-10,2室1厅1厨1卫,平层,板楼,1988年建/板楼,央产房,中楼层 (共5层),55.4㎡,复兴路79号院,海淀五棵松,2007-03-15,一梯三户,简装,410
70年,非共有,69023,有,暂无数据,已上传房本照片,普通住宅,满两年,西南,集中供暖,2018-10-10,3室1厅0厨2卫,平层,塔楼,2005年建/塔楼,商品房,高楼层 (共29层),156.47㎡,怡海花园恒泰园,丰台科技园区,2015-12-08,三梯六户,其他,1080
70年,非共有,57678,有,暂无数据,已上传房本照片,普通住宅,满五年,西 北,集中供暖,2018-10-21,2室2厅1厨1卫,平层,塔楼,1999年建/塔楼,已购公房,中楼层 (共20层),105.76㎡,莲花池西路6号院,丰台六里桥,2002-07-25,两梯八户,其他,610
70年,非共有,43268,有,有抵押 130万元 建设银行 客户偿还,已上传房本照片,普通住宅,满两年,南 北,集中供暖,2018-10-08,3室1厅1厨2卫,平层,板楼,2014年建/板楼,商品房,中楼层 (共11层),111.63㎡,建邦华庭西区,房山长阳,2016-07-13,一梯两户,其他,483
70年,非共有,59623,有,暂无数据,已上传房本照片,普通住宅,满两年,西南,集中供暖,2018-10-08,2室1厅1厨1卫,平层,塔楼,2002年建/塔楼,商品房,中楼层 (共29层),102.31㎡,怡海花园富润园,丰台科技园区,2015-07-24,三梯十二户,简装,610
70年,非共有,58630,有,无抵押,已上传房本照片,普通住宅,满两年,南,集中供暖,2018-09-21,2室1厅1厨1卫,平层,板楼,2010年建/板楼,商品房,低楼层 (共27层),84.94㎡,保利茉莉公馆,大兴黄村北,2014-04-29,两梯四户,简装,498
70年,非共有,39916,无,无抵押,已上传房本照片,普通住宅,满五年,东 西,集中供暖,2018-09-21,2室1厅1厨1卫,平层,板楼,2000年建/板楼,商品房,低楼层 (共6层),80.17㎡,承泽苑,门头沟滨河西区,2013-10-08,一梯两户,简装,320
70年,非共有,113144,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-09-16,3室1厅1厨1卫,平层,板楼,1980年建/板楼,已购公房,底层 (共5层),76.01㎡,六铺炕,东城安定门,1995-06-30,一梯两户,简装,860
70年,非共有,68607,有,有抵押 200万元 客户偿还,已上传房本照片,普通住宅,满两年,南,自供暖,2018-09-13,2室2厅1厨2卫,平层,板塔结合,2003年建/板塔结合,商品房,低楼层 (共16层),120.98㎡,望馨花园,朝阳望京,2016-11-15,一梯三户,精装,830
70年,非共有,73257,有,暂无数据,已上传房本照片,普通住宅,满五年,东南 西北,集中供暖,2018-09-12,2室2厅1厨1卫,平层,板楼,2006年建/板楼,商品房,高楼层 (共26层),110.57㎡,嘉美风尚中心,朝阳望京,2008-02-14,两梯四户,其他,810
70年,非共有,41427,无,有抵押 60万元 银行 客户偿还,已上传房本照片,普通住宅,满两年,南 北,集中供暖,2018-09-10,2室1厅1厨1卫,平层,板楼,1997年建/板楼,商品房,高楼层 (共6层),69.52㎡,晓月苑一里,丰台卢沟桥,2016-04-12,一梯两户,精装,288
70年,非共有,53623,有,有抵押 60万元 中国工商银行 客户偿还,已上传房本照片,普通住宅,满五年,西北,集中供暖,2018-09-04,3室1厅1厨1卫,平层,塔楼,1984年建/塔楼,私产,低楼层 (共16层),76.46㎡,劲松五区,朝阳劲松,2007-04-24,两梯八户,精装,410
70年,非共有,59472,有,有抵押,已上传房本照片,普通住宅,满五年,东南,集中供暖,2018-09-03,3室1厅1厨1卫,平层,塔楼,1997年建/塔楼,商品房,低楼层 (共30层),126.11㎡,望京新城,朝阳望京,2011-08-25,三梯十二户,简装,750
70年,非共有,64949,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-08-31,3室1厅1厨2卫,平层,板楼,2006年建/板楼,商品房,高楼层 (共16层),137.34㎡,万年花城三期,丰台玉泉营,2008-09-09,一梯两户,简装,892
70年,非共有,49001,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-09-09,2室2厅1厨1卫,平层,板楼,2007年建/板楼,商品房,底层 (共9层),101.02㎡,顺驰领海,大兴黄村北,2010-07-09,一梯两户,简装,495
70年,非共有,38478,无,无抵押,已上传房本照片,普通住宅,满两年,南 北,集中供暖,2018-09-03,2室1厅1厨1卫,平层,板楼,2003年建/板楼,商品房,低楼层 (共6层),71.21㎡,新海南里,亦庄开发区马驹桥,2015-06-16,一梯两户,简装,274
70年,非共有,82666,无,暂无数据,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-08-28,3室1厅1厨1卫,平层,板楼,1994年建/板楼,二类经济适用房,中楼层 (共6层),79.84㎡,莲花池西里6号院,丰台六里桥,2013-08-07,一梯两户,简装,660
70年,非共有,74695,有,无抵押,已上传房本照片,普通住宅,满五年,东,集中供暖,2018-08-26,2室1厅1厨1卫,平层,塔楼,2003年建/塔楼,商品房,顶层 (共21层),88.36㎡,海天中心,海淀军博,2008-07-01,两梯八户,简装,660
70年,非共有,55657,有,无抵押,已上传房本照片,普通住宅,满两年,南 北,集中供暖,2018-08-24,3室2厅1厨2卫,平层,板塔结合,2012年建/板塔结合,商品房,顶层 (共20层),132.24㎡,保利茉莉公馆,大兴黄村北,2016-10-18,两梯三户,简装,736
70年,共有,31118,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-08-20,2室1厅1厨1卫,平层,板楼,1985年建/板楼,商品房,高楼层 (共6层),70.7㎡,大峪南路,门头沟大峪,2013-12-25,一梯六户,简装,220
70年,非共有,45147,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-08-18,3室2厅1厨1卫,平层,板楼,2000年建/板楼,商品房,高楼层 (共7层),137.33㎡,听涛雅苑,亦庄开发区亦庄,2005-12-01,一梯两户,精装,620
70年,非共有,44571,无,无抵押,已上传房本照片,普通住宅,满两年,南 北,集中供暖,2018-08-14,2室1厅1厨1卫,平层,板楼,2004年建/板楼,商品房,低楼层 (共6层),91.99㎡,云龙家园,大兴旧宫,2014-03-17,一梯两户,简装,410
70年,非共有,81777,有,无抵押,已上传房本照片,普通住宅,满两年,南 北,集中供暖,2018-08-18,2室2厅1厨1卫,平层,板楼,2013年建/板楼,商品房,中楼层 (共18层),103.33㎡,亚奥金茂悦,朝阳北苑,2015-12-17,两梯四户,精装,845
70年,非共有,56124,有,暂无数据,已上传房本照片,普通住宅,满两年,南 北,集中供暖,2018-08-11,2室1厅1厨1卫,平层,板塔结合,2009年建/板塔结合,商品房,中楼层 (共15层),89.98㎡,世嘉博苑,大兴西红门,2015-08-03,一梯三户,精装,505
70年,非共有,36739,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-08-16,2室1厅1厨1卫,平层,板楼,1994年建/板楼,商品房,中楼层 (共6层),60.7㎡,明春西园,大兴科技园区,2004-04-19,一梯三户,简装,223
70年,共有,54033,有,无抵押,已上传房本照片,普通住宅,满两年,南,集中供暖,2018-08-11,2室1厅1厨1卫,平层,板塔结合,2015年建/板塔结合,商品房,低楼层 (共29层),87.91㎡,中建国际港,大兴枣园,2016-08-22,两梯三户,毛坯,475
70年,非共有,42721,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-08-11,2室1厅1厨1卫,平层,板楼,1989年建/板楼,已购公房,低楼层 (共6层),58.52㎡,车站北里,大兴黄村火车站,1993-09-18,一梯三户,毛坯,250
70年,非共有,53552,有,无抵押,已上传房本照片,普通住宅,满五年,南,自供暖,2018-08-14,1室1厅1厨1卫,平层,塔楼,2009年建/塔楼,二类经济适用房,顶层 (共9层),63.49㎡,弘善家园,朝阳潘家园,2013-09-02,一梯八户,简装,340
70年,非共有,63867,有,无抵押,已上传房本照片,普通住宅,满五年,南,集中供暖,2018-03-12,2室1厅1厨1卫,平层,塔楼,2001年建/塔楼,商品房,顶层 (共16层),105.69㎡,建予园,东城永定门,2005-02-04,两梯十户,精装,675
70年,非共有,65948,无,无抵押,已上传房本照片,普通住宅,满五年,东 西,集中供暖,2017-12-19,2室1厅1厨1卫,平层,板楼,1998年建/板楼,商品房,中楼层 (共7层),75.06㎡,南湖中园一区,朝阳望京,2009-11-12,一梯两户,简装,495
70年,非共有,42695,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2017-12-30,3室2厅1厨1卫,平层,板楼,1997年建/板楼,私产,顶层 (共6层),106.57㎡,龙兴园中区,昌平回龙观,2004-07-05,一梯两户,简装,455
70年,共有,57959,有,无抵押,已上传房本照片,普通住宅,满五年,南,集中供暖,2018-01-28,2室1厅1厨2卫,平层,塔楼,2001年建/塔楼,商品房,中楼层 (共30层),120.43㎡,都会华庭,朝阳十里堡,2009-05-27,三梯八户,精装,698
70年,非共有,75254,有,无抵押,已上传房本照片,普通住宅,满五年,西南,集中供暖,2017-12-07,2室2厅1厨2卫,平层,板塔结合,2003年建/板塔结合,私产,顶层 (共18层),136.87㎡,华鼎世家二期,朝阳望京,2005-08-25,两梯四户,精装,1030
70年,非共有,39750,暂无数据,有抵押 80万元 工商银行 业主自还,已上传房本照片,普通住宅,满五年,东南,集中供暖,2017-09-01,2室1厅1厨1卫,平层,板楼,1990年建/板楼,商品房,顶层 (共6层),70.19㎡,五里店南里,丰台五里店,2013-04-24,一梯两户,简装,279
70年,非共有,65470,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2017-08-24,3室2厅1厨1卫,平层,板塔结合,2006年建/板塔结合,一类经济适用房,高楼层 (共24层),125.25㎡,朝阳雅筑,朝阳朝青,2009-11-24,一梯两户,精装,820
70年,非共有,58070,有,无抵押,已上传房本照片,普通住宅,满五年,东南,集中供暖,2017-07-21,2室1厅1厨1卫,平层,塔楼,2005年建/塔楼,私产,低楼层 (共24层),107.63㎡,望园东里,丰台七里庄,2006-07-24,两梯十户,简装,625
70年,非共有,103137,有,无抵押,已上传房本照片,普通住宅,满五年,南,集中供暖,2017-06-18,1室1厅1厨1卫,平层,板塔结合,2009年建/板塔结合,商品房,低楼层 (共26层),70.78㎡,丽水莲花,西城广安门,2011-08-23,两梯八户,精装,730
70年,共有,58824,有,无抵押,已上传房本照片,普通住宅,满五年,东 西,集中供暖,2017-03-28,2室1厅1厨1卫,平层,板塔结合,2000年建/板塔结合,私产,低楼层 (共14层),77.35㎡,正阳小区,丰台北大地,2006-07-25,两梯三户,简装,455
70年,非共有,115528,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2017-05-07,3室1厅1厨1卫,平层,板楼,1984年建/板楼,已购公房,顶层 (共12层),80.5㎡,北三环中路12号院,西城马甸,2012-11-01,一梯十户,简装,930
70年,非共有,38966,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2017-04-15,2室1厅1厨1卫,平层,板楼,1982年建/板楼,已购公房,高楼层 (共6层),56.46㎡,桥东街小区,门头沟城子,1995-05-12,一梯三户,简装,220
70年,共有,55873,有,有抵押 120万元 银行 业主自还,已上传房本照片,普通住宅,满两年,南 北,集中供暖,2019-01-10,2室1厅1厨1卫,平层,板楼,2011年建/板楼,商品房,底层 (共9层),91.28㎡,金色漫香林五期,大兴亦庄,2015-05-22,一梯两户,精装,510
70年,共有,83919,有,有抵押 80万元 中信 客户偿还,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-09-06,3室2厅1厨2卫,平层,板塔结合,2012年建/板塔结合,商品房,中楼层 (共27层),130.96㎡,世华泊郡,朝阳北苑,2013-08-21,两梯四户,精装,1099
70年,非共有,54140,无,无抵押,已上传房本照片,普通住宅,满五年,东 西,集中供暖,2018-09-06,2室1厅1厨1卫,平层,板楼,1992年建/板楼,商品房,中楼层 (共6层),60.4㎡,丰台路口东里,丰台七里庄,2013-09-26,一梯三户,简装,327
70年,非共有,39802,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,自供暖,2019-01-07,3室2厅1厨2卫,平层,板楼,2008年建/板楼,商品房,中楼层 (共16层),143.21㎡,宏大北园,大兴西红门,2010-09-15,两梯四户,精装,570
70年,非共有,60546,有,无抵押,已上传房本照片,普通住宅,满五年,东 北,集中供暖,2018-08-13,2室1厅1厨1卫,平层,塔楼,2004年建/塔楼,一类经济适用房,高楼层 (共22层),80.27㎡,正阳小区,丰台北大地,2005-12-12,两梯十二户,简装,486
70年,非共有,141773,无,无抵押,已上传房本照片,普通住宅,满五年,东 西,集中供暖,2018-07-26,2室1厅1厨1卫,平层,板塔结合,1999年建/板塔结合,已购公房,中楼层 (共8层),79㎡,新外大街28号院,西城德胜门,2001-06-15,一梯两户,简装,1120
未知,非共有,62900,暂无数据,有抵押 60万元 建行 客户偿还,已上传房本照片,普通住宅,满五年,东,暂无数据,2019-01-13,1室1厅1厨1卫,平层,板楼,1994年建/板楼,商品房,中楼层 (共6层),46.9㎡,文体路15号,丰台北大地,2013-09-18,一梯两户,简装,295
70年,非共有,33391,有,有抵押 36万元 业主自还,已上传房本照片,普通住宅,满五年,西北,自供暖,2019-01-07,2室1厅1厨1卫,平层,板塔结合,2009年建/板塔结合,商品房,低楼层 (共15层),86.85㎡,加州水郡三期,房山长阳,2012-08-30,两梯六户,精装,290
70年,非共有,59858,暂无数据,无抵押,已上传房本照片,普通住宅,满五年,南,集中供暖,2019-01-07,2室1厅1厨1卫,平层,板楼,1990年建/板楼,已购公房,中楼层 (共5层),78.52㎡,精图小区55号院,丰台太平桥,2002-03-12,一梯三户,精装,470
70年,非共有,57539,有,无抵押,已上传房本照片,普通住宅,满五年,南 西南,集中供暖,2019-01-05,3室1厅1厨2卫,平层,塔楼,2002年建/塔楼,商品房,中楼层 (共29层),144.25㎡,怡海花园富润园,丰台科技园区,2008-10-30,三梯十户,精装,830
70年,非共有,51962,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2019-01-05,2室1厅1厨1卫,平层,板楼,1993年建/板楼,已购公房,顶层 (共6层),58.89㎡,康静里,朝阳东坝,2003-07-31,一梯两户,精装,306
70年,非共有,92064,暂无数据,无抵押,已上传房本照片,普通住宅,满五年,东 西,集中供暖,2019-01-03,2室1厅1厨1卫,平层,板楼,1996年建/板楼,商品房,顶层 (共6层),63㎡,新苑街10号院,海淀甘家口,2010-04-06,一梯两户,精装,580
70年,非共有,69350,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2019-01-02,3室1厅1厨1卫,平层,板楼,1993年建/板楼,商品房,顶层 (共6层),95.17㎡,永安南里,朝阳建国门外,2009-08-13,一梯四户,精装,660
70年,非共有,100748,有,无抵押,已上传房本照片,普通住宅,满五年,东北,集中供暖,2018-11-11,1室2厅1厨1卫,平层,板塔结合,2010年建/板塔结合,商品房,中楼层 (共22层),61.54㎡,中海紫御公馆,东城陶然亭,2013-04-07,两梯六户,精装,620
70年,非共有,32624,无,无抵押,已上传房本照片,普通住宅,满两年,南 北,集中供暖,2018-11-02,2室1厅1厨1卫,平层,板楼,2005年建/板楼,商品房,高楼层 (共6层),75.1㎡,长丰园一区,大兴科技园区,2014-05-23,一梯两户,简装,245
